para,numwords_1,numwords_2,numwords_3,numwords_4,perc_w2,perc_w3,perc_w4
p1,28,24,11,26,0.8,0.4,0.9
p2,38,38,38,39,1,1,-0.02
p3,93,90,88,89,0.96,0.94,0.95
p4,159,150,160,268,0.05,-0.006,-0.40
p5,248,139,196,233,0.56,0.79,0.93
p6,138,133,137,133,0.96,0.99,0.96
p7,287,282,282,270,0.98,0.98,0.94
p8,312,309,310,302,0.99,0.99,0.96
p9,246,243,241,245,0.98,0.97,0.99
p10,160,145,156,126,0.90,0.97,0.78
p11,177,160,150,118,0.90,0.84,0.66
p12,908,667,732,718,0.73,0.80,0.79
p13,113,107,105,92,0.94,0.92,0.81
p14,108,107,145,108,0.99,-0.25,1
